date,iteration,start_date,duration,total_issues,total_points,remaining_issues,remaining_points,completed_issues,completed_points,status_counts
2026-09-05,2026-W36,2026-08-31,7,3,15.0,2,10.0,1,5.0,"{""Blocked"": 1, ""Done"": 1, ""In Progress"": 1}"
2026-09-06,2026-W36,2026-08-31,7,3,73.0,2,68.0,1,5.0,"{""Backlog"": 1, ""Done"": 1, ""In Progress"": 1}"
